L1,L2,L3,L2_path,L3_path,size,label,top_terms
0,0,0,0.0,0.0.0,275,"research, systems, information, information systems, paper, jatsp","research, systems, information, information systems, paper, jatsp, theory, approach, design, researchers"
0,0,1,0.0,0.0.1,55,"security, information security, compliance, isp, employees, employee","security, information security, compliance, isp, employees, employee, violations, information, intentions, organizational"
0,0,2,0.0,0.0.2,69,"group, decision, groups, gdss, support, group decision","group, decision, groups, gdss, support, group decision, task, decision support, gss, support systems"
0,0,3,0.0,0.0.3,239,"development, user, project, process, control, systems development","development, user, project, process, control, systems development, software, users, case, organizational"
0,1,0,0.1,0.1.0,23,"reviews, online reviews, online, review, consumers, consumer reviews","reviews, online reviews, online, review, consumers, consumer reviews, products, product reviews, jatsp, reviewers"
0,1,1,0.1,0.1.1,23,"service, personalization, service quality, consumers, quality, privacy","service, personalization, service quality, consumers, quality, privacy, servqual, commerce, customers, technologies"
0,1,2,0.1,0.1.2,50,"online, shopping, price, wom, channel, auction","online, shopping, price, wom, channel, auction, reputation, quality, feedback, seller"
0,1,3,0.1,0.1.3,54,"product, ratings, products, consumers, consumer, rating","product, ratings, products, consumers, consumer, rating, free, product reviews, price, sales"
0,2,0,0.2,0.2.0,35,"media, social media, social, messages, media use, jatsp","media, social media, social, messages, media use, jatsp, content, media marketing, research, engagement"
0,2,1,0.2,0.2.1,25,"trust, distrust, sharing, level trust, collaboration, sharing economy","trust, distrust, sharing, level trust, collaboration, sharing economy, trust distrust, construct, teams, level"
0,2,2,0.2,0.2.2,29,"virtual, team, teams, virtual team, virtual teams, members","virtual, team, teams, virtual team, virtual teams, members, virtual worlds, worlds, conflict, team members"
0,2,3,0.2,0.2.3,118,"social, network, oss, community, source, open source","social, network, oss, community, source, open source, capital, social network, networks, users"
0,3,0,0.3,0.3.0,114,"firms, investments, performance, firm, investment, firm performance","firms, investments, performance, firm, investment, firm performance, risk, technology, capability, value"
0,3,1,0.3,0.3.1,54,"outsourcing, governance, contract, vendor, vendors, sourcing","outsourcing, governance, contract, vendor, vendors, sourcing, client, multisourcing, contracts, decision"
0,3,2,0.3,0.3.2,56,"electronic, markets, suppliers, electronic markets, market, buyers","electronic, markets, suppliers, electronic markets, market, buyers, customers, costs, transactions, banking"
0,3,3,0.3,0.3.3,81,"business, alignment, strategic, strategy, technology, business strategy","business, alignment, strategic, strategy, technology, business strategy, strategic alignment, model, competitive, information"
0,4,0,0.4,0.4.0,14,"transformation, digital, digital transformation, dt, organisations, digital technologies","transformation, digital, digital transformation, dt, organisations, digital technologies, empowerment, inertia, organizational, alibaba"
0,4,1,0.4,0.4.1,27,"innovation, innovations, open innovation, service innovation, open, service","innovation, innovations, open innovation, service innovation, open, service, organisational, market opportunities, innovators, partners"
0,4,2,0.4,0.4.2,24,"platform, platforms, complementors, digital platforms, complementor, digital","platform, platforms, complementors, digital platforms, complementor, digital, owner, platform owner, digital platform, ecosystems"
0,4,3,0.4,0.4.3,60,"digital, infrastructure, infrastructures, digital infrastructure, research, digital infrastructures","digital, infrastructure, infrastructures, digital infrastructure, research, digital infrastructures, information, blockchain, governance, openness"
0,5,0,0.5,0.5.0,86,"knowledge, knowledge management, management, process, transfer, knowledge creation","knowledge, knowledge management, management, process, transfer, knowledge creation, creation, information, research, km"
0,5,1,0.5,0.5.1,8,"dsr, design, science, design science, research dsr, science research","dsr, design, science, design science, research dsr, science research, editorial, replication, artifact, provide constructive"
0,5,2,0.5,0.5.2,32,"knowledge sharing, knowledge, sharing, communities, shared, online","knowledge sharing, knowledge, sharing, communities, shared, online, requirements elicitation, online communities, community, shared understanding"
0,5,3,0.5,0.5.3,3,"climate, personalization, codification, formal, mechanisms, individuals","climate, personalization, codification, formal, mechanisms, individuals, informal, influence individuals, knowledge sharing, sharing"
1,0,0,1.0,1.0.0,322,"information, systems, development, information systems, process, design","information, systems, development, information systems, process, design, paper, management, systems development, analysis"
1,0,1,1.0,1.0.1,104,"decision, dss, decision making, support, making, decision support","decision, dss, decision making, support, making, decision support, models, group, support systems, decision makers"
1,0,2,1.0,1.0.2,55,"university, management, systems, journal, information systems, information","university, management, systems, journal, information systems, information, professor, management information, mis, research"
1,0,3,1.0,1.0.3,30,"expert, expert systems, systems, knowledge, simple, shell","expert, expert systems, systems, knowledge, simple, shell, legal, knowledge bases, es, decision"
1,1,0,1.1,1.1.0,131,"consumers, product, consumer, products, sales, online","consumers, product, consumer, products, sales, online, channel, price, jatsp, goods"
1,1,1,1.1,1.1.1,45,"pricing, price, optimal, piracy, costs, seller","pricing, price, optimal, piracy, costs, seller, demand, prices, goods, buyers"
1,1,2,1.1,1.1.2,187,"service, services, market, firms, security, network","service, services, market, firms, security, network, jatsp, internet, providers, customers"
1,1,3,1.1,1.1.3,44,"advertising, search, sponsored, advertisers, firms, display","advertising, search, sponsored, advertisers, firms, display, display advertising, online, sponsored search, revenue"
1,2,0,1.2,1.2.0,46,"social media, media, social, firms, crisis, messages","social media, media, social, firms, crisis, messages, jatsp, posts, stock, study"
1,2,1,1.2,1.2.1,17,"news, fake news, fake, articles, users, stock","news, fake news, fake, articles, users, stock, emotions, verification, political, ratings"
1,2,2,1.2,1.2.2,51,"social, network, social network, online, networks, users","social, network, social network, online, networks, users, social networking, networking, information, data"
1,2,3,1.2,1.2.3,28,"content, engagement, moderation, user, users, platform","content, engagement, moderation, user, users, platform, platforms, bots, diffusion, bot"
1,3,0,1.3,1.3.0,95,"software, development, software development, vendor, functionality, project","software, development, software development, vendor, functionality, project, market, model, maintenance, optimal"
1,3,1,1.3,1.3.1,12,"open source, open, source, source software, software, community","open source, open, source, source software, software, community, software development, source community, source projects, development"
1,3,2,1.3,1.3.2,10,"oss, piracy, incumbent, proprietary, network externalities, software","oss, piracy, incumbent, proprietary, network externalities, software, externalities, proprietary software, pirated, network"
1,3,3,1.3,1.3.3,12,"case, engineering, quality, software engineering, aided software, computer aided","case, engineering, quality, software engineering, aided software, computer aided, innovation, tools, engineering case, aided"
1,4,0,1.4,1.4.0,15,"auctions, bidding, bidders, bidding strategies, auction, bid","auctions, bidding, bidders, bidding strategies, auction, bid, strategies, bidder, online auctions, online"
1,4,1,1.4,1.4.1,2,"bidders, auction, computerized, arousal, human, bidding behavior","bidders, auction, computerized, arousal, human, bidding behavior, overall, agency, bidding, agents"
