L1,size,label,top_terms
0,493,"contract, contracts, control, control mechanisms, controls, development, management, open, open source, oss","contract, contracts, control, control mechanisms, controls, development, management, open, open source, oss"
1,2089,"adoption, alignment, business, customer, diffusion, digital, digital technologies, digital transformation, erp, erp implementation","adoption, alignment, business, customer, diffusion, digital, digital technologies, digital transformation, erp, erp implementation"
2,1794,"abstract available, ai, articlejatsp, available articlejatsp, content, health, human, information, intelligence, intelligence ai","abstract available, ai, articlejatsp, available articlejatsp, content, health, human, information, intelligence, intelligence ai"
3,1574,"big, big data, data, decision, design, design science, development, expert, expert systems, information","big, big data, data, decision, design, design science, development, expert, expert systems, information"
4,131,"creation, experts, explicit, km, knowledge, knowledge creation, knowledge management, knowledge transfer, law, learning","creation, experts, explicit, km, knowledge, knowledge creation, knowledge management, knowledge transfer, law, learning"
5,201,"asynchronous, brainstorming, decision, decision making, decision support, dss, ebs, facilitation, gdss, group","asynchronous, brainstorming, decision, decision making, decision support, dss, ebs, facilitation, gdss, group"
6,913,"app, apps, auction, auctions, bidders, bidding, buyers, consumer, consumers, crowdfunding","app, apps, auction, auctions, bidders, bidding, buyers, consumer, consumers, crowdfunding"
7,123,"articles, brand, brands, comments, consumers, content, engagement, media, media use, messages","articles, brand, brands, comments, consumers, content, engagement, media, media use, messages"
8,499,"abstract, abstract jatsp, al, authors, des, devoted time, et, et al, following individuals, information systems","abstract, abstract jatsp, al, authors, des, devoted time, et, et al, following individuals, information systems"
9,113,"abuse, appeals, breaches, compliance, deterrence, fear, habituation, information, information security, pmt","abuse, appeals, breaches, compliance, deterrence, fear, habituation, information, information security, pmt"
10,76,"calculus, concerns, data, disclosure, information, information privacy, neural, personal information, privacy, privacy calculus","calculus, concerns, data, disclosure, information, information privacy, neural, personal information, privacy, privacy calculus"
11,104,"arizona, clemons, collaborative technology, information, information systems, jatspjatsp, journal, management, professor, received","arizona, clemons, collaborative technology, information, information systems, jatspjatsp, journal, management, professor, received"
